Strain	State	Collection Data	PANGO Lineage
hCoV-19/India/PB-NCDC-2709268/2021	Punjab	22/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409342/2021	Punjab	06/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1909270/2021	Delhi	27/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-200969/2021	Punjab	16/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-2509267/2021	Delhi	19/04/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209357/2021	Delhi	05/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-12092/2021	Delhi	22/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-2509122/2021	Delhi	14/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-2509118/2021	Delhi	14/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-1609164/2021	Delhi	12/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1209286/2021	Delhi	24/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-18096/2021	Delhi	22/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-18098/2021	Delhi	22/03/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-130979/2021	Delhi	05/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-14091/2021	Punjab	25/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-1909265/2021	Delhi	22/03/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-130976/2021	Delhi	05/03/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-130963/2021	Delhi	04/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409115/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1209285/2021	Delhi	24/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-709189/2020	Delhi	04/12/20	B.1.1.7
hCoV-19/India/DL-NCDC-1909380/2021	Delhi	23/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1709216/2021	Delhi	21/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1909130/2021	Delhi	23/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1509269/2021	Delhi	09/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1509270/2021	Delhi	09/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1209160/2021	Delhi	28/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-180937/2021	Delhi	20/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1009118/2020	Delhi	18/12/20	B.1.1.7
hCoV-19/India/DL-NCDC-1009149/2020	Delhi	22/12/20	B.1.1.7
hCoV-19/India/DL-NCDC-1009129/2020	Delhi	19/12/20	B.1.1.7
hCoV-19/India/DL-NCDC-1009128/2020	Delhi	19/12/20	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-130961/2021	Delhi	04/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409371/2021	Punjab	15/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-1609166/2021	Delhi	15/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1109365/2021	Delhi	16/02/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-130936/2021	Delhi	02/03/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-130983/2021	Delhi	06/03/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-130952/2021	Delhi	04/03/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-13092/2021	Delhi	26/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-2009206/2021	Delhi	25/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-2009340/2021	Delhi	02/04/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209119/2021	Delhi	03/04/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209196/2021	Delhi	03/04/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-130956/2021	Delhi	04/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1909244/2021	Delhi	24/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409158/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-2009276/2021	Delhi	29/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1909235/2021	Delhi	26/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1709366/2021	Delhi	21/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1909213/2021	Delhi	23/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409112/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-2809205/2021	Delhi	16/04/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209236/2021	Delhi	05/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-1909289/2021	Delhi	19/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-2009317/2021	Delhi	31/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1909197/2021	Delhi	29/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1609143/2021	Delhi	09/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1909187/2021	Delhi	27/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1509254/2021	Delhi	13/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009154/2021	Punjab	16/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009110/2021	Punjab	19/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009109/2021	Punjab	19/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009150/2021	Punjab	18/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709329/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-1909146/2021	Delhi	23/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-160979/2021	Delhi	10/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-160980/2021	Delhi	10/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-140942/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709361/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009139/2021	Punjab	19/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1709268/2021	Delhi	19/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409266/2021	Punjab	10/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1209295/2021	Delhi	02/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1209284/2021	Delhi	23/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-12091/2021	Delhi	22/02/21	B.1.1.7
hCoV-19/India/PB-NCDC-14096/2021	Punjab	05/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709263/2021	Punjab	22/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-2009346/2021	Delhi	02/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709236/2021	Punjab	22/04/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209346/2021	Delhi	06/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709330/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409164/2021	Punjab	10/03/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-1309108/2021	Delhi	23/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-1509266/2021	Delhi	08/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-170933/2021	Delhi	18/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-2009298/2021	Delhi	24/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-200912/2021	Punjab	15/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1209332/2021	Delhi	27/02/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-1309104/2021	Delhi	06/03/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-1309103/2021	Delhi	06/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709321/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-170916/2021	Delhi	18/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1709215/2021	Delhi	19/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-2509180/2021	Delhi	13/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-1909217/2021	Delhi	25/03/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209350/2021	Delhi	07/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-200947/2021	Punjab	15/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409313/2021	Punjab	12/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-160913/2021	Delhi	13/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1209305/2021	Delhi	24/02/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709296/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209266/2021	Delhi	05/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409150/2021	Punjab	07/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009157/2021	Punjab	16/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009129/2021	Punjab	19/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1609178/2021	Delhi	16/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-180928/2021	Delhi	25/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1709381/2021	Delhi	19/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1709212/2021	Delhi	16/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1509271/2021	Delhi	09/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1609101/2021	Delhi	13/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1509101/2021	Punjab	25/02/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709362/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709313/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-1709219/2021	Delhi	20/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-2509181/2021	Delhi	13/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-1909258/2021	Delhi	27/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709277/2021	Punjab	22/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709217/2021	Punjab	22/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-1509103/2021	Punjab	10/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409378/2021	Punjab	19/02/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409267/2021	Punjab	10/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709310/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-22092/2021	Delhi	01/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409188/2021	Punjab	10/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1609150/2021	Delhi	10/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409117/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-140954/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1609154/2021	Delhi	12/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409222/2021	Punjab	06/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1609139/2021	Delhi	08/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1209306/2021	Delhi	24/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-1209307/2021	Delhi	24/02/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409304/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409109/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409316/2021	Punjab	01/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709280/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-140940/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1709264/2021	Delhi	18/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-160955/2021	Delhi	14/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-200966/2021	Punjab	16/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409148/2021	Punjab	07/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-2309332/2021	Delhi	11/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-200982/2021	Punjab	16/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409250/2021	Punjab	11/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-230927/2021	Delhi	11/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-1709270/2021	Delhi	20/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-2309382/2021	Delhi	13/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-200950/2021	Punjab	15/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009160/2021	Punjab	16/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409217/2021	Punjab	06/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409110/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409265/2021	Punjab	07/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409203/2021	Punjab	08/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709214/2021	Punjab	22/04/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209107/2021	Delhi	01/04/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209109/2021	Delhi	01/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709225/2021	Punjab	22/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709314/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409307/2021	Punjab	12/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-250999/2021	Delhi	15/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409235/2021	Punjab	11/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409231/2021	Punjab	11/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409255/2021	Punjab	11/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409212/2021	Punjab	06/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709210/2021	Punjab	22/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-1909190/2021	Delhi	23/03/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209330/2021	Delhi	08/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-200923/2021	Punjab	15/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409282/2021	Punjab	10/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409167/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709290/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409321/2021	Punjab	12/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409312/2021	Punjab	12/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1809203/2021	Delhi	20/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-2009305/2021	Delhi	26/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-2809316/2021	Delhi	23/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709319/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-180918/2021	Delhi	23/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-20093/2021	Punjab	15/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409306/2021	Punjab	12/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709207/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209118/2021	Delhi	02/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-180926/2021	Delhi	23/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709273/2021	Punjab	22/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409153/2021	Punjab	10/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709230/2021	Punjab	22/04/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209200/2021	Delhi	06/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-15096/2021	Delhi	22/02/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209382/2021	Delhi	08/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-1709380/2021	Delhi	18/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409157/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409314/2021	Punjab	12/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709228/2021	Punjab	22/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709226/2021	Punjab	22/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009167/2021	Punjab	15/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-160953/2021	Delhi	07/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-160954/2021	Delhi	07/03/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209335/2021	Delhi	07/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-1609161/2021	Delhi	14/03/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209268/2021	Delhi	07/04/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209269/2021	Delhi	07/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-1809233/2021	Delhi	19/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1809230/2021	Delhi	20/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-150948/2021	Delhi	01/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1609169/2021	Delhi	17/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709327/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-16094/2021	Delhi	01/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-2009338/2021	Delhi	04/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-2009331/2021	Delhi	01/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-2309253/2021	Delhi	08/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-2609382/2021	Delhi	13/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-2009313/2021	Delhi	31/03/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209105/2021	Delhi	01/04/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209352/2021	Delhi	06/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709250/2021	Punjab	22/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-230912/2021	Delhi	05/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709309/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409159/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-200949/2021	Punjab	15/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-150950/2021	Delhi	08/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-14095/2021	Punjab	05/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-140964/2021	Punjab	09/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409162/2021	Punjab	08/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009141/2021	Punjab	19/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709331/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-170932/2021	Delhi	18/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709303/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409151/2021	Punjab	10/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409152/2021	Punjab	10/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1709259/2021	Delhi	11/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1209101/2021	Delhi	27/02/21	B.1.1.7
hCoV-19/India/DL-NCDC-1609128/2021	Delhi	15/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1609171/2021	Delhi	17/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1209210/2021	Delhi	23/02/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-1309105/2021	Delhi	07/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1909228/2021	Delhi	23/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-180950/2021	Delhi	14/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1909226/2021	Delhi	23/03/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209123/2021	Delhi	03/04/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209124/2021	Delhi	03/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709307/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209233/2021	Delhi	06/04/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209231/2021	Delhi	06/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409154/2021	Punjab	10/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-200971/2021	Punjab	16/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-2509179/2021	Delhi	11/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-2509177/2021	Delhi	11/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-2509185/2021	Delhi	15/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009175/2021	Punjab	15/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009165/2021	Punjab	16/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009164/2021	Punjab	16/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709340/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209281/2021	Delhi	07/04/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209220/2021	Delhi	05/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-180912/2021	Delhi	20/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-200993/2021	Punjab	17/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-2509282/2021	Delhi	14/04/21	B.1.1.7
hCoV-19/India/DEL-NCDC-INSACOG-2209283/2021	Delhi	31/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-200931/2021	Punjab	15/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-200946/2021	Punjab	15/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1609170/2021	Delhi	17/03/21	B.1.1.7
hCoV-19/India/PB-NCDC-2009172/2021	Punjab	15/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-15097/2021	Delhi	22/02/21	B.1.1.7
hCoV-19/India/PB-NCDC-1409294/2021	Punjab	08/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-250913/2021	Delhi	14/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-25099/2021	Delhi	13/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709274/2021	Punjab	22/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709316/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709317/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/PB-NCDC-2709322/2021	Punjab	23/04/21	B.1.1.7
hCoV-19/India/DL-NCDC-1709382/2021	Delhi	22/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-170917/2021	Delhi	18/03/21	B.1.1.7
hCoV-19/India/DL-NCDC-1209139/2021	Delhi	27/02/21	B.1
hCoV-19/India/DL-NCDC-709116/2020	Delhi	06/12/20	B.1
hCoV-19/India/DL-NCDC-909164/2020	Delhi	25/11/20	B.1
hCoV-19/India/DL-NCDC-909171/2020	Delhi	28/11/20	B.1.1.216
hCoV-19/India/DL-NCDC-909155/2020	Delhi	24/11/20	B.1.1.216
hCoV-19/India/DL-NCDC-909337/2020	Delhi	19/12/20	Others
hCoV-19/India/DL-NCDC-909174/2020	Delhi	28/11/20	B.1
hCoV-19/India/DL-NCDC-160976/2021	Delhi	10/03/21	B.1
hCoV-19/India/DL-NCDC-909176/2020	Delhi	30/11/20	Others
hCoV-19/India/DL-NCDC-809200/2020	Delhi	27/11/20	Others
hCoV-19/India/DL-NCDC-1009185/2020	Delhi	28/11/20	Others
hCoV-19/India/DL-NCDC-909357/2021	Delhi	04/02/21	B.1
hCoV-19/India/DL-NCDC-110973/2021	Delhi	05/02/21	Others
hCoV-19/India/DL-NCDC-809279/2021	Delhi	06/02/21	B.1
hCoV-19/India/DL-NCDC-809269/2021	Delhi	08/02/21	B.1
hCoV-19/India/DL-NCDC-1109114/2021	Delhi	17/02/21	Others
hCoV-19/India/DL-NCDC-809277/2021	Delhi	06/02/21	B.1.36
hCoV-19/India/DL-NCDC-809270/2021	Delhi	08/02/21	B.1.36
hCoV-19/India/DL-NCDC-709252/2020	Delhi	17/12/20	B.1.36
hCoV-19/India/DL-NCDC-809273/2021	Delhi	06/02/21	B.1.36
hCoV-19/India/DL-NCDC-809258/2021	Delhi	05/02/21	B.1.36
hCoV-19/India/DL-NCDC-909112/2020	Delhi	22/12/20	B.1.36
hCoV-19/India/DL-NCDC-809249/2021	Delhi	05/02/21	B.1.36
hCoV-19/India/DL-NCDC-809265/2021	Delhi	06/02/21	B.1.36
hCoV-19/India/DL-NCDC-1209187/2021	Delhi	17/02/21	B.1
hCoV-19/India/DL-NCDC-90963/2020	Delhi	07/12/20	Others
hCoV-19/India/DL-NCDC-70964/2020	Delhi	21/12/20	B.1
hCoV-19/India/DL-NCDC-120972/2021	Delhi	24/02/21	B.1
hCoV-19/India/DL-NCDC-170967/2021	Delhi	16/03/21	Others
hCoV-19/India/DL-NCDC-100994/2021	Delhi	11/02/21	Others
hCoV-19/India/DL-NCDC-809261/2021	Delhi	06/02/21	Others
hCoV-19/India/DL-NCDC-709139/2020	Delhi	27/12/20	B.1
hCoV-19/India/DL-NCDC-709198/2020	Delhi	14/12/20	B.1
hCoV-19/India/DL-NCDC-609340/2020	Delhi	21/12/20	Others
hCoV-19/India/DL-NCDC-100989/2021	Delhi	08/02/21	Others
hCoV-19/India/DL-NCDC-1109123/2021	Delhi	17/02/21	Others
hCoV-19/India/DL-NCDC-909365/2020	Delhi	20/12/20	B.1
hCoV-19/India/DL-NCDC-809148/2020	Delhi	25/11/20	B.1.36
hCoV-19/India/DL-NCDC-709318/2020	Delhi	09/12/20	Others
hCoV-19/India/DL-NCDC-709212/2020	Delhi	22/12/20	B.1.36
hCoV-19/India/DL-NCDC-709205/2020	Delhi	25/11/20	Others
hCoV-19/India/DL-NCDC-909322/2020	Delhi	17/12/20	Others
hCoV-19/India/DL-NCDC-90927/2020	Delhi	25/11/20	Others
hCoV-19/India/DEL-NCDC-INSACOG-13093/2021	Delhi	27/02/21	Others
hCoV-19/India/DL-NCDC-90936/2020	Delhi	06/12/20	Others
hCoV-19/India/DL-NCDC-809150/2020	Delhi	27/11/20	Others
hCoV-19/India/DL-NCDC-1109148/2021	Delhi	20/01/21	Others
hCoV-19/India/DL-NCDC-100990/2021	Delhi	08/02/21	B.1.36
hCoV-19/India/DEL-NCDC-INSACOG-50919/2020	Delhi	24/11/20	B.1
hCoV-19/India/DL-NCDC-809133/2020	Delhi	21/12/20	B.1
hCoV-19/India/DL-NCDC-709234/2020	Delhi	22/12/20	B.1.36
