Strain	State	Collection Data	PANGO Lineage
hCoV-19/India/DL-NCDC-609312/2020	Delhi	27/11/20	B.1
hCoV-19/India/DL-NCDC-709262/2020	Delhi	16/12/20	B.1
hCoV-19/India/DL-NCDC-709204/2020	Delhi	25/11/20	B.1
hCoV-19/India/DL-NCDC-809193/2020	Delhi	27/11/20	B.1
hCoV-19/India/DL-NCDC-809253/2021	Delhi	05/02/21	Others
hCoV-19/India/DL-NCDC-909127/2020	Delhi	22/12/20	B.1
hCoV-19/India/DL-NCDC-809234/2020	Delhi	08/12/20	Others
hCoV-19/India/DL-NCDC-809298/2020	Delhi	04/12/20	Others
hCoV-19/India/DL-NCDC-709137/2020	Delhi	27/12/20	Others
hCoV-19/India/DL-NCDC-809284/2020	Delhi	09/12/20	B.1
hCoV-19/India/DL-NCDC-809296/2020	Delhi	21/12/20	Others
hCoV-19/India/DL-NCDC-809292/2020	Delhi	13/12/20	B.1
hCoV-19/India/DL-NCDC-809203/2020	Delhi	27/11/20	B.1
hCoV-19/India/DL-NCDC-709380/2020	Delhi	07/12/20	B.1
hCoV-19/India/DL-NCDC-809255/2021	Delhi	05/02/21	B.1
hCoV-19/India/DL-NCDC-809246/2021	Delhi	02/02/21	B.1
hCoV-19/India/DL-NCDC-809294/2020	Delhi	03/12/20	Others
hCoV-19/India/DL-NCDC-709300/2020	Delhi	26/11/20	B.1
hCoV-19/India/DL-NCDC-709102/2020	Delhi	22/12/20	Others
hCoV-19/India/DL-NCDC-709375/2020	Delhi	06/12/20	B.1
hCoV-19/India/DL-NCDC-709343/2020	Delhi	12/12/20	B.1
hCoV-19/India/DL-NCDC-809247/2021	Delhi	02/02/21	Others
hCoV-19/India/DL-NCDC-709211/2020	Delhi	22/12/20	B.1
hCoV-19/India/DL-NCDC-809295/2020	Delhi	14/12/20	B.1
hCoV-19/India/DL-NCDC-809124/2020	Delhi	15/12/20	B.1
hCoV-19/India/DL-NCDC-709254/2020	Delhi	17/12/20	B.1
hCoV-19/India/DL-NCDC-809286/2020	Delhi	21/12/20	B.1
hCoV-19/India/DL-NCDC-809268/2021	Delhi	08/02/21	B.1
hCoV-19/India/DL-NCDC-809281/2021	Delhi	06/02/21	B.1.1
hCoV-19/India/DL-NCDC-809299/2020	Delhi	04/12/20	B.1
hCoV-19/India/DL-NCDC-809291/2020	Delhi	05/12/20	Others
hCoV-19/India/DL-NCDC-809112/2020	Delhi	16/12/20	B.1.1
hCoV-19/India/DL-NCDC-1009157/2020	Delhi	24/11/20	Others
hCoV-19/India/DL-NCDC-909167/2020	Delhi	26/11/20	Others
hCoV-19/India/DL-NCDC-909139/2020	Delhi	23/12/20	Others
hCoV-19/India/DL-NCDC-709270/2020	Delhi	22/12/20	Others
hCoV-19/India/DL-NCDC-709225/2020	Delhi	23/12/20	B.1
hCoV-19/India/DL-NCDC-70983/2020	Delhi	01/12/20	B.1
hCoV-19/India/DL-NCDC-809147/2020	Delhi	24/11/20	B.1
hCoV-19/India/DL-NCDC-809128/2020	Delhi	16/12/20	B.1
hCoV-19/India/DL-NCDC-809170/2020	Delhi	17/12/20	B.1
hCoV-19/India/DL-NCDC-809141/2020	Delhi	22/12/20	B.1
hCoV-19/India/DL-NCDC-1109262/2020	Delhi	21/12/20	B.1
hCoV-19/India/DL-NCDC-809110/2020	Delhi	21/12/20	B.1
hCoV-19/India/DL-NCDC-809153/2020	Delhi	01/12/20	B.1
hCoV-19/India/DL-NCDC-709138/2020	Delhi	27/12/20	B.1.36
hCoV-19/India/DL-NCDC-809250/2021	Delhi	05/02/21	Others
hCoV-19/India/DL-NCDC-809185/2020	Delhi	20/12/20	B.1
hCoV-19/India/DL-NCDC-809283/2020	Delhi	08/12/20	B.1
hCoV-19/India/DEL-NCDC-INSACOG-1309110/2021	Delhi	27/02/21	Others
hCoV-19/India/DL-NCDC-1009171/2020	Delhi	25/11/20	Others
hCoV-19/India/DL-NCDC-809198/2020	Delhi	26/11/20	B.1
hCoV-19/India/DL-NCDC-909131/2020	Delhi	23/12/20	B.1
hCoV-19/India/DL-NCDC-909188/2020	Delhi	15/12/20	B.1.36
hCoV-19/India/DL-NCDC-809187/2020	Delhi	25/11/20	B.1.36
hCoV-19/India/DL-NCDC-90916/2020	Delhi	01/12/20	B.1.36
hCoV-19/India/DL-NCDC-809142/2020	Delhi	01/12/20	B.1.36
hCoV-19/India/DL-NCDC-609380/2020	Delhi	17/12/20	B.1.36
hCoV-19/India/DL-NCDC-809186/2020	Delhi	06/12/20	B.1.36
hCoV-19/India/DL-NCDC-609285/2020	Delhi	15/12/20	B.1.36
hCoV-19/India/DL-NCDC-809113/2020	Delhi	19/12/20	B.1.36
hCoV-19/India/DL-NCDC-709304/2020	Delhi	25/11/20	B.1.36
hCoV-19/India/DL-NCDC-709307/2020	Delhi	25/11/20	B.1.36
hCoV-19/India/DL-NCDC-1009158/2020	Delhi	24/11/20	Others
hCoV-19/India/DL-NCDC-709271/2020	Delhi	22/12/20	Others
hCoV-19/India/DL-NCDC-809120/2020	Delhi	22/12/20	B.1
hCoV-19/India/DL-NCDC-1009161/2020	Delhi	28/11/20	Others
hCoV-19/India/DL-NCDC-70910/2020	Delhi	25/11/20	B.1.36
hCoV-19/India/DL-NCDC-609310/2020	Delhi	22/12/20	B.1.36
hCoV-19/India/DL-NCDC-70911/2020	Delhi	25/11/20	B.1.36
hCoV-19/India/DL-NCDC-709348/2020	Delhi	20/12/20	B.1.36
hCoV-19/India/DL-NCDC-709257/2020	Delhi	17/12/20	B.1.36
hCoV-19/India/DL-NCDC-909132/2020	Delhi	23/12/20	B.1.36
hCoV-19/India/DL-NCDC-609231/2020	Delhi	26/11/20	B.1
hCoV-19/India/DL-NCDC-609237/2020	Delhi	25/11/20	B.1.36
hCoV-19/India/DL-NCDC-909378/2020	Delhi	30/11/20	B.1
hCoV-19/India/DL-NCDC-1009248/2020	Delhi	20/12/20	B.1.36
hCoV-19/India/DL-NCDC-70922/2020	Delhi	18/12/20	B.1.36
hCoV-19/India/DL-NCDC-809126/2020	Delhi	16/12/20	B.1
hCoV-19/India/DL-NCDC-1009170/2020	Delhi	27/11/20	B.1.36
hCoV-19/India/DL-NCDC-909159/2020	Delhi	24/11/20	B.1.36
hCoV-19/India/DL-NCDC-709278/2020	Delhi	26/11/20	B.1.36
hCoV-19/India/DL-NCDC-709292/2020	Delhi	30/11/20	B.1.36
hCoV-19/India/DL-NCDC-709290/2020	Delhi	28/11/20	B.1.36
hCoV-19/India/DL-NCDC-809137/2020	Delhi	21/12/20	B.1.36
hCoV-19/India/DL-NCDC-809138/2020	Delhi	20/12/20	B.1.36
hCoV-19/India/DL-NCDC-709115/2020	Delhi	06/12/20	B.1
hCoV-19/India/DL-NCDC-70984/2020	Delhi	01/12/20	B.1
hCoV-19/India/DL-NCDC-709109/2020	Delhi	23/12/20	B.1
hCoV-19/India/DL-NCDC-709140/2020	Delhi	27/12/20	B.1
hCoV-19/India/DL-NCDC-80998/2020	Delhi	23/12/20	B.1.1
hCoV-19/India/DL-NCDC-809231/2020	Delhi	06/12/20	B.1.1
hCoV-19/India/DL-NCDC-809232/2020	Delhi	07/12/20	B.1
hCoV-19/India/DL-NCDC-909121/2020	Delhi	22/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-1009218/2021	Delhi	08/02/21	B.1.1.216
hCoV-19/India/DL-NCDC-90991/2020	Delhi	08/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-709256/2020	Delhi	17/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-70971/2020	Delhi	21/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-70973/2020	Delhi	21/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-709341/2020	Delhi	17/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-909147/2020	Delhi	07/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-909308/2020	Delhi	08/12/20	B.1
hCoV-19/India/DL-NCDC-609306/2020	Delhi	05/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-909379/2020	Delhi	30/11/20	B.1.1.216
hCoV-19/India/DL-NCDC-609241/2020	Delhi	23/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-809182/2020	Delhi	25/11/20	Others
hCoV-19/India/DL-NCDC-1009123/2020	Delhi	18/12/20	B.1.1.216
